"rhino_id","inst_id","species","sex","dob","age","birth_type","housing","date","lat","long","keeper_id","social_incomp","active","calm","investigative","sleep","stereotypies","assertive","chemosensory","con_af","con_ag","con_ff","food_ag","no_obj","pre_obj","social","vocal","fam_af","fam_ag","fam_ff","responsive","stranger_af","stranger_ag","stranger_ff"
22187246,"Inst-1","Southern White","Female",1996-01-01,27,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 99","Yes",7.5,7.5,7.6,5,1,8,2,6.5,6,0.5,9.5,2,6,6,5,4,1,1,5,2,1,1
23728998,"Inst-1","Southern White","Male",1995-01-01,28,"Wild","Social",2023-09-19,43.3409762,-80.1800999,"Keeper 201","Yes",8,6.9,7,8,2.9,7.5,8.2,7.5,6.7,4.9,5,3,2,5.1,4.2,8.1,2.9,0.7,7.5,5.1,6.9,2.5
23728998,"Inst-1","Southern White","Male",1995-01-01,28,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 112","",5,8.8,8.8,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,1,NA,1.2,1.2,1.2
23728998,"Inst-1","Southern White","Male",1995-01-01,28,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 99","",7,2,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,1,6,1,1,1
22187249,"Inst-1","Southern White","Female",1996-01-01,27,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 201","Yes",6.5,7,7,5,0.5,7,1.8,9,5,1.2,2.5,1,1,9.8,9,8.6,0.8,0.8,9,8.5,1,1
22187249,"Inst-1","Southern White","Female",1996-01-01,27,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 112","Yes",5,7.5,10,4,1,7.5,7.5,8,3,2,4,4,3,10,9,9.8,1.5,1,9,7.5,1.5,1.5
22187249,"Inst-1","Southern White","Female",1996-01-01,27,"Wild","Social",2023-09-20,43.3409762,-80.1800999,"Keeper 99","Yes",6,4,6,5,0.5,5,1.5,8,5,1,7,2,3,8,8,7,0.5,0.5,7,3,0.5,1
20563577,"Inst-3","Southern White","Female",1985-11-09,37,"Wild","Social",2022-11-30,35.07797,-106.66309,"Keeper 171","No",8.7,7.2,1,2.8,NA,5,2.8,5,2.9,0.2,0.1,0.1,0.1,6.8,2.9,10,0.1,0.1,9,8.6,0.1,0.1
20563577,"Inst-3","Southern White","Female",1985-11-09,37,"Wild","Social",2022-12-07,35.07797,-106.66309,"Keeper 65","No",5,8,5,5,0,3,2,5,1,1,0,NA,NA,8,NA,9.5,0.5,0.5,9,9.5,0.5,0.5
20563577,"Inst-3","Southern White","Female",1985-11-09,37,"Wild","Social",2022-12-13,35.07797,-106.66309,"Keeper 74","No",8,8,6,3,0,4,2,9,3,5,3,2,2,6,0,8,0,0,8,8,0,0
20563577,"Inst-3","Southern White","Female",1985-11-09,37,"Wild","Social",2022-12-14,35.07797,-106.66309,"Keeper 155","No",7,5,7,5,0.1,NA,4,8,3.2,3.2,1.1,NA,NA,5,0.5,9.4,0.7,0.7,9.4,9,0.3,0.5
20563577,"Inst-3","Southern White","Female",1985-11-09,37,"Wild","Social",2022-12-22,35.07797,-106.66309,"Keeper 35","No",5,9,3,5,0,1.5,NA,9,1,0.5,1,0,0,8,2,9.5,0.5,0,9.5,9.5,0.5,0
20563574,"Inst-3","Southern White","Male",2012-10-30,10,"Captive","Social",2022-11-30,35.07797,-106.66309,"Keeper 171","No",8.2,5,2.7,2.2,0.2,7,8.2,5.5,2,0.1,5.1,0.1,0.1,8.4,0.2,10,0.1,0.1,10,9,1,0.1
20563574,"Inst-3","Southern White","Male",2012-10-30,10,"Captive","Social",2022-12-07,35.07797,-106.66309,"Keeper 65","No",7.5,2.5,9,5,0.5,7,9.5,8,2,0.5,8.5,4,4,9.5,9,8,5,0.5,5,9,5,0.5
20563574,"Inst-3","Southern White","Male",2012-10-30,10,"Captive","Social",2022-12-13,35.07797,-106.66309,"Keeper 74","No",7,3,6,2.5,0,5.1,8.2,9,3,3,8,2,2,9,2,7,2.5,0,8,5,4,1
20563574,"Inst-3","Southern White","Male",2012-10-30,10,"Captive","Social",2022-12-14,35.07797,-106.66309,"Keeper 155","No",7.8,5,7.1,5,0,2.5,7.1,8.1,5.1,2.3,6.3,NA,NA,8.1,5,9.1,2.1,0.6,9.1,8.1,2.2,2.1
20563574,"Inst-3","Southern White","Male",2012-10-30,10,"Captive","Social",2022-12-22,35.07797,-106.66309,"Keeper 35","No",5,7,6,6,1,3,3,7,1.5,0.5,2,NA,7.4,8.5,6,9.5,1,0,9.5,9,1,0
24404031,"Inst-59","Southern White","Male",1991-01-26,31,"Captive","Social",2023-01-12,29.9237334,-90.1314068,"Keeper 52","Yes",4.3,3.9,10,2.7,1.5,8.7,10,7.9,9.2,0,0,0,0,7.7,8.2,7.7,8.6,0,9,8.2,0,0
24404031,"Inst-59","Southern White","Male",1991-01-26,32,"Captive","Social",2023-02-02,29.9237334,-90.1314068,"Keeper 45","Yes",7.7,7.3,7.6,3.2,3.4,NA,7.8,3.5,5,1.8,NA,NA,NA,3.9,3.2,5.5,2.5,0.3,8.2,6.9,1.3,1.8
24404058,"Inst-59","Southern White","Female",1990-02-02,32,"Captive","Social",2023-01-12,29.9237334,-90.1314068,"Keeper 52","Yes",5.1,6.6,3.5,6.4,1.6,7,0,8.7,8.4,0,0,0,0,10,8.3,10,0,0,9,10,0,0
24403824,"Inst-5","Eastern Black","Female",2017-03-15,5,"Captive","Individual",2022-10-10,33.4860018,-86.7795407,"Keeper 15","",2,1,1.5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,3,3.5,8.5,4.5,8.5,7
24403824,"Inst-5","Eastern Black","Female",2017-03-15,6,"Captive","Individual",2023-04-16,33.4860018,-86.7795407,"Keeper 24","",5,2,2,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2.5,0,7,5,1,1
22939949,"Inst-5","Eastern Black","Male",2017-05-17,5,"Captive","Individual",2022-10-10,33.4860018,-86.7795407,"Keeper 15","",8,9.5,9.5,7.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,2,0.5,9,9.5,0.5,0.5
22939949,"Inst-5","Eastern Black","Male",2017-05-17,5,"Captive","Individual",2023-04-16,33.4860018,-86.7795407,"Keeper 24","",10,2.5,5,5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,9,10,0,0
14662354,"Inst-6","Eastern Black","Female",2010-08-23,12,"Captive","Social",2022-11-20,41.5208379999999,-93.6251642,"Keeper 151","Yes",5,8,4,8,0,2,2,5,0,0,4,1,1,3,0.3,6,0,0,5,7,0,0
14662354,"Inst-6","Eastern Black","Female",2010-08-23,12,"Captive","Social",2022-11-22,41.5208379999999,-93.6251642,"Keeper 130","No",2,8,5,7,0,7,2,5,1,NA,2,3,5,5,NA,9,0.5,0,8,4,1,0
14662354,"Inst-6","Eastern Black","Female",2010-08-23,12,"Captive","Social",2022-11-22,41.5208379999999,-93.6251642,"Keeper 213","No",6.1,5.9,5.1,3.3,1.1,4.5,6,6,1.9,0,2.1,0,1.1,4.1,1.2,8.2,2.2,0,9,8.6,0,0
14662354,"Inst-6","Eastern Black","Female",2010-08-23,12,"Captive","Social",2022-11-22,41.5208379999999,-93.6251642,"Keeper 179","No",5,8.5,7.6,5.1,0,7.2,2.1,6.9,0,0,5.3,2,9.1,4.9,0.5,8,1,0.5,7,6.7,0,1.6
19030325,"Inst-6","Eastern Black","Female",2019-04-05,3,"Captive","Social",2022-11-20,41.5208379999999,-93.6251642,"Keeper 151","Yes",4,6.5,4,7,0.5,2,1,6,0,0,2.5,0,0,7,4,10,0,0,9,9,0,0
19030325,"Inst-6","Eastern Black","Female",2019-04-05,3,"Captive","Social",2022-11-22,41.5208379999999,-93.6251642,"Keeper 179","No",5.1,2.5,2.1,5.1,1.5,2.7,1.3,9,3.3,1.5,5.7,0.5,2.9,9,1.7,6.7,1.1,0.7,7.4,8,0.5,0
19030325,"Inst-6","Eastern Black","Female",2019-04-05,3,"Captive","Social",2022-11-22,41.5208379999999,-93.6251642,"Keeper 5","No",5,2,2,5,1,3.1,1,8.9,2.9,1.1,6.7,0.2,0.5,9.4,3.5,7,1,0.6,8.1,8.4,0.5,1
19030325,"Inst-6","Eastern Black","Female",2019-04-05,3,"Captive","Social",2022-11-23,41.5208379999999,-93.6251642,"Keeper 213","No",7.4,3.3,5,5.6,0,4.4,3.8,7.6,4,3.3,4.8,3,3,8.8,6.2,8.7,0,0,9.5,7.9,0,0
19030325,"Inst-6","Eastern Black","Female",2019-04-05,3,"Captive","Social",2022-11-26,41.5208379999999,-93.6251642,"Keeper 130","No",8,2.5,2.5,5,1,6,1,7.5,3,1,7.5,2,4,8,8.5,7,0,0,8,4,0,1
14662147,"Inst-6","Eastern Black","Male",2010-10-07,12,"Captive","Individual",2022-11-20,41.5208379999999,-93.6251642,"Keeper 151","",3,9.5,5,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,9,9,0,0
14662147,"Inst-6","Eastern Black","Male",2010-10-07,12,"Captive","Individual",2022-11-22,41.5208379999999,-93.6251642,"Keeper 213","",5,8,8.1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,10,9.1,0,0
14662147,"Inst-6","Eastern Black","Male",2010-10-07,12,"Captive","Individual",2022-11-22,41.5208379999999,-93.6251642,"Keeper 5","",5,8,9,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.5,0,8,9,0,1
14662147,"Inst-6","Eastern Black","Male",2010-10-07,12,"Captive","Individual",2022-11-22,41.5208379999999,-93.6251642,"Keeper 179","",5,7.6,6.6,5,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,0.5,0,8.1,9.2,0,1.1
14662147,"Inst-6","Eastern Black","Male",2010-10-07,12,"Captive","Individual",2022-11-26,41.5208379999999,-93.6251642,"Keeper 130","",5,9,9,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0,0,9.5,9,0,0
19030328,"Inst-6","Eastern Black","Female",2016-10-11,6,"Captive","Social",2022-11-20,41.5208379999999,-93.6251642,"Keeper 151","Yes",5.5,4,7,7,1,1,2,4,0,3,1,0.1,0,5,6,9,0,0,9,6,0,1
19030328,"Inst-6","Eastern Black","Female",2016-10-11,6,"Captive","Social",2022-11-22,41.5208379999999,-93.6251642,"Keeper 179","No",5,3.5,2,5,1.5,3,2.4,7.7,2.7,2.3,7.7,1,1.1,6,2.5,8.7,1,1.1,7.5,7.5,0.5,2.2
19030328,"Inst-6","Eastern Black","Female",2016-10-11,6,"Captive","Social",2022-11-22,41.5208379999999,-93.6251642,"Keeper 5","No",5,4,1,5,1.3,2,2,8.5,3,1.5,8.5,1,1,6.5,4,9,1,1,8,8,0.5,2
19030328,"Inst-6","Eastern Black","Female",2016-10-11,6,"Captive","Social",2022-11-23,41.5208379999999,-93.6251642,"Keeper 213","No",7.3,4.1,4.3,3.8,0,6.1,6.1,7.3,4,2.3,5.9,3.9,3.9,8.3,4,10,1.6,0,8.5,7.7,0,0
19030328,"Inst-6","Eastern Black","Female",2016-10-11,6,"Captive","Social",2022-11-26,41.5208379999999,-93.6251642,"Keeper 130","No",7,1,3.5,4,2.5,7,7,7.5,5,3,8,5,5,8,7,7,6,1,8,2.5,1,2.5
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-06,28.2249886,-80.7138556,"Keeper 83","No",8,0,7,2,0,5,8,8,2,0,4,0,0,9,6,9.5,0,0,8,6,0,0
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-10,28.2249886,-80.7138556,"Keeper 196","No",7.2,8.7,3,4,5,5.5,9,9,2,1,3.5,1,0.5,10,7,9.6,0.5,0,9.5,9,0,0
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-10,28.2249886,-80.7138556,"Keeper 187","No",6.9,5.2,7.1,4.1,2,2,5.8,9,0.6,5,5,0.1,0.1,9.9,9,9,1,0,5.1,6,0,2
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-11,28.2249886,-80.7138556,"Keeper 9","No",10,5,9,5.1,1.9,4.1,10,10,1.3,0,2.9,2.1,1.9,10,8.2,10,1.2,0.2,8.1,9,0.9,0.2
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-11,28.2249886,-80.7138556,"Keeper 25","No",8.3,6.5,8.1,5.4,1,2.3,9,9,1.3,1.1,2.3,0,0,9,9,9.5,1,0,7.7,8,1,0
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-12,28.2249886,-80.7138556,"Keeper 49","No",4,6,9,6,2,0.5,6,6,0.8,7,1,1,1,9,4,7.1,1,0.5,8,9,1,1
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-08,28.2249886,-80.7138556,"Keeper 62","No",6,8,7,5,2,5.5,6,6.5,3,1,6.6,0.8,0.4,6,6,9,1,0,9,8,1,2
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-09,28.2249886,-80.7138556,"Keeper 138","No",7.2,1.4,5.4,5.4,0,0,4.7,5.9,0,4.6,0,0,0,4.2,4.8,6.9,0,0.7,8.3,5.2,0,0
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-14,28.2249886,-80.7138556,"Keeper 96","Yes",6,4.5,4.2,6.7,2.3,3.6,7.1,7,3.1,5.4,3,3.4,3.4,8.6,5.1,7.9,0.5,1.5,8.1,6.6,0.4,4.4
21260167,"Inst-7","Southern White","Male",2002-03-22,20,"Captive","Social",2023-01-14,28.2249886,-80.7138556,"Keeper 100","No",5,6,7,5,NA,0.5,9.1,9,3,4,1,NA,NA,9.5,8.1,8,NA,NA,9.1,9,NA,NA
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-06,28.2249886,-80.7138556,"Keeper 83","No",5,9.9,5,3.5,0,6.5,1,8,2,0,4,0,0,8.5,2,9,0,0,7,8,0,0
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-09,28.2249886,-80.7138556,"Keeper 138","No",5.7,5,7.4,7.6,0,9.4,8.6,8,3.7,0,NA,NA,NA,8,2.3,9.1,0,0.4,8.3,6.4,0,0
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-10,28.2249886,-80.7138556,"Keeper 196","No",7,8.5,7.5,6.3,2.5,4.5,3.5,8.6,2,0.5,6,2.5,2.5,9.5,4,9.5,0.5,0,9,9.6,0.1,0.3
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-10,28.2249886,-80.7138556,"Keeper 187","No",4.9,7,6.9,4,1,6,4,6.7,1,0.8,5,0,0,8.1,7,9,0.2,0.2,8.5,8,0,0.1
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-11,28.2249886,-80.7138556,"Keeper 9","No",5.4,5.2,5.1,5.2,2,9,3,10,7,1,5,4,1.9,10,2.9,10,0.1,0,8.9,9,2.6,1
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-11,28.2249886,-80.7138556,"Keeper 25","No",7,3,7.5,5,2,5,5,10,4,1,6,0,0,10,7,9,1,1,9,8.9,0,0
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-12,28.2249886,-80.7138556,"Keeper 180","No",6.1,7.1,3.1,8.6,1.7,5.8,2.8,6.3,2.9,3,6.8,3.8,2.8,7.9,3.5,8.2,2.6,2.6,8.9,8,1.7,2.3
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-14,28.2249886,-80.7138556,"Keeper 62","No",5.5,6,5,6,4,5,5.5,6,5.7,1,5.5,0.5,0.5,9,4,9,0.2,0.4,8.5,8,1,1
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-14,28.2249886,-80.7138556,"Keeper 96","Yes",3,5,5.5,8,3,6,4,5,5,0.4,6.5,0.2,NA,6,6.1,8,1,1,6.5,7.3,1,3.5
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-12,28.2249886,-80.7138556,"Keeper 49","No",4,7,8,6,3,7.3,4,9,7,1,7,1,1,9,4,9,1,2,8,8.6,1,1
24403896,"Inst-7","Southern White","Female",2001-08-19,21,"Captive","Social",2023-01-14,28.2249886,-80.7138556,"Keeper 100","No",5,7,8,5,0,8,8,NA,3,NA,6,0,NA,10,5,9,NA,NA,9,3.1,NA,NA
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-06,28.2249886,-80.7138556,"Keeper 83","No",6.5,6.5,2,3.5,0,2,2,7,0,0,1,0,0,9,1,6,0,0,5,6.5,0,0
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-10,28.2249886,-80.7138556,"Keeper 187","No",5,8,8,4.4,1,9.1,5,7,1,0.3,7,0,0,9,6.1,9,0.2,0.2,7,8,0,0
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-11,28.2249886,-80.7138556,"Keeper 25","No",7,6,7.2,6,1,5,5,10,5,1.1,6.5,0,0,10,3.6,7.9,0,0,8.9,8.8,0,1
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-12,28.2249886,-80.7138556,"Keeper 49","No",4,4,6.1,6,1,4,4,9,3,1,4,2,4,9,4,9,1,1,8.5,9,1,1
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-12,28.2249886,-80.7138556,"Keeper 180","No",4,6.6,5.9,9.1,2.5,4.5,6.6,8.6,5.2,1.9,5,2.1,2.4,8.8,3.4,9.2,2,1.4,6.4,7.6,1.6,2.7
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-14,28.2249886,-80.7138556,"Keeper 62","No",6,6,5.5,6,2,5.5,5,6,5.1,2,5,1,1,9,3,9,0.5,0.5,8,8,0.5,1
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-14,28.2249886,-80.7138556,"Keeper 96","Yes",3.4,6.2,5.6,6.6,2.3,4.5,3.2,8,3.6,4.5,5,3.1,3,7.7,4.6,6.5,1,1,6.8,8,0.3,2.1
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-09,28.2249886,-80.7138556,"Keeper 138","No",7,7.9,7.6,8.3,0,6.9,5.8,6.7,0,0,3.6,0,0,6.2,7,8.3,0,2.6,8,6.9,0,0.4
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-10,28.2249886,-80.7138556,"Keeper 196","No",8.5,8.5,5.4,8.5,3.1,2,1.8,8,1,0.5,0.5,0.5,0.5,9.4,3.1,9.5,0.5,0.5,9.5,9.5,0.6,0.6
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-11,28.2249886,-80.7138556,"Keeper 9","No",5,5,5,5,1,8,2.9,9,3.9,1,4.9,1.1,1.1,10,1.8,10,0.1,0.1,9,8,1.7,1.8
23031911,"Inst-7","Southern White","Female",2000-10-13,22,"Captive","Social",2023-01-14,28.2249886,-80.7138556,"Keeper 100","No",5,6,8,5,NA,3,6,8,4,2,4,NA,NA,9,1,8,NA,NA,9.1,3,NA,NA
19030340,"Inst-8","Eastern Black","Female",2010-10-18,11,"Captive","Individual",2022-09-11,41.8328795,-87.8355515,"Keeper 224","",5.5,4.5,9,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.5,1.5,7.5,7.5,1.5,1
19030340,"Inst-8","Eastern Black","Female",2010-10-18,11,"Captive","Individual",2022-09-30,41.8328795,-87.8355515,"Keeper 232","",7.4,1.8,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1.5,7,2,7.4,6.2
19030340,"Inst-8","Eastern Black","Female",2010-10-18,11,"Captive","Individual",2022-10-05,41.8328795,-87.8355515,"Keeper 47","",5,2,10,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,5,10,0,0
19030340,"Inst-8","Eastern Black","Female",2010-10-18,11,"Captive","Individual",2022-10-05,41.8328795,-87.8355515,"Keeper 58","",4.5,8,5,3.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.2,0.2,9,8,1,2
19030340,"Inst-8","Eastern Black","Female",2010-10-18,12,"Captive","Individual",2022-12-11,41.8328795,-87.8355515,"Keeper 172","",6,3.5,7.5,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,2.5,1,8,5,7,5
14662231,"Inst-8","Eastern Black","Male",1990-02-25,32,"Captive","Individual",2022-09-11,41.8328795,-87.8355515,"Keeper 224","",4.5,5,7,5.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0,0,9,5,1,3.5
14662231,"Inst-8","Eastern Black","Male",1990-02-25,32,"Captive","Individual",2022-09-30,41.8328795,-87.8355515,"Keeper 232","",6,1.9,3.5,4.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.8,0.5,8.7,8,2.1,3.1
14662231,"Inst-8","Eastern Black","Male",1990-02-25,32,"Captive","Individual",2022-10-05,41.8328795,-87.8355515,"Keeper 58","",3.5,7,5,4.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,0.1,1,9,9,1,1
14662231,"Inst-8","Eastern Black","Male",1990-02-25,32,"Captive","Individual",2022-10-05,41.8328795,-87.8355515,"Keeper 47","",4.5,6,5,6.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,8,10,0,0
14662231,"Inst-8","Eastern Black","Male",1990-02-25,32,"Captive","Individual",2022-12-11,41.8328795,-87.8355515,"Keeper 172","",6,9,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,1,1,9.5,4,3,6
21190285,"Inst-9","Eastern Black","Female",2018-02-07,4,"Captive","Individual",2023-01-27,42.9371231,-78.8516090999999,"Keeper 229","",8,2,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,9,1,5,9
21190285,"Inst-9","Eastern Black","Female",2018-02-07,4,"Captive","Individual",2023-01-28,42.9371231,-78.8516090999999,"Keeper 209","",6.1,2.5,7.1,2.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,0.5,7.9,2.9,5,8.5
21190285,"Inst-9","Eastern Black","Female",2018-02-07,4,"Captive","Individual",2023-02-06,42.9371231,-78.8516090999999,"Keeper 72","",5,2,8.2,5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,0.4,0,9.7,7.5,0.8,0.1
21286957,"Inst-10","Southern White","Female",2015-07-08,7,"Wild","Social",2023-03-19,28.037066,-82.4194607,"Keeper 28","No",7,8,9,9,3,1,0,5,3,8.5,0,0,0,6,7,8,0,2,8,10,0,2
21286957,"Inst-10","Southern White","Female",2015-07-08,7,"Wild","Social",2023-03-20,28.037066,-82.4194607,"Keeper 145","No",10,6,10,3,0,2,5,10,1,7,0,2,2,10,5,10,0,0,5,5,0,0
21286957,"Inst-10","Southern White","Female",2015-07-08,7,"Wild","Social",2023-03-25,28.037066,-82.4194607,"Keeper 1","No",7.5,9.6,9.6,3,NA,1.5,1,10,0.5,2,1,NA,NA,9,10,10,NA,NA,9,10,NA,NA
21286957,"Inst-10","Southern White","Female",2015-07-08,7,"Wild","Social",2023-04-18,28.037066,-82.4194607,"Keeper 218","No",7.5,5,5,2.5,0,1,0,8,1,6,1,0,2,8,1,10,0,0,9,10,0,0
21286957,"Inst-10","Southern White","Female",2015-07-08,7,"Wild","Social",2023-06-07,28.037066,-82.4194607,"Keeper 44","No",5,5,6,5,1,1,2,6,1,1,1,1,1,7,2,6,1,1,6,6,1,1
21286963,"Inst-10","Eastern Black","Female",1989-03-23,33,"Captive","Individual",2023-03-14,28.037066,-82.4194607,"Keeper 1","",3.5,7.5,9,4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0,0.5,9,9.3,0.2,0.5
21286963,"Inst-10","Eastern Black","Female",1989-03-23,33,"Captive","Individual",2023-03-19,28.037066,-82.4194607,"Keeper 28","",7,3,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.5,2,7,9,0.5,2
